Nombre variables de decisions;Nombre contraintes;Temps résolution
89;8;0.000364
15;5;0.000085
38;7;0.000180
11;5;0.000078
29;9;0.000226
66;9;0.000336
76;6;0.000178
48;8;0.000196
42;6;0.000125
56;9;0.000256
21;5;0.000075
51;9;0.000238
82;7;0.000226
13;5;0.000065
21;6;0.000093
42;6;0.000124
85;8;0.000281
20;6;0.000092
40;7;0.000147
14;9;0.000163
64;9;0.000265
12;7;0.000088
93;5;0.000145
40;8;0.000160
97;8;0.000285
65;6;0.000135
66;6;0.000139
66;8;0.000210
87;5;0.000133
75;9;0.000260
25;7;0.000106
31;9;0.000160
31;5;0.000105
70;9;0.000270
41;5;0.000085
88;5;0.000136
87;8;0.000244
11;9;0.000116
41;6;0.000109
47;7;0.000137
45;6;0.000114
22;5;0.000065
89;6;0.000171
26;9;0.000148
38;6;0.000101
86;9;0.000283
41;6;0.000105
27;6;0.000088
29;8;0.000133
31;7;0.000113
36;8;0.000148
52;5;0.000096
37;9;0.000195
85;9;0.000286
81;8;0.000234
70;5;0.000113
40;9;0.000176
